date,growth
01/01/1979,-0.002408556
01/02/1979,0.004779804
01/03/1979,0.001058328
01/04/1979,-0.004540109
01/05/1979,0.001824155
01/06/1979,0.006482153
01/07/1979,-0.007596154
01/08/1979,0.008322441
01/09/1979,0.000549479
01/10/1979,-0.000189342
01/11/1979,0.003409814
01/12/1979,-0.002700322
01/01/1980,0.001601591
01/02/1980,-0.003722234
01/03/1980,-0.00069671
01/04/1980,-0.009116205
01/05/1980,-0.00216703
01/06/1980,0.002965567
01/07/1980,-0.000221573
01/08/1980,0.004276604
01/09/1980,0.001544871
01/10/1980,0.004940837
01/11/1980,-0.002015367
01/12/1980,0.009361025
01/01/1981,-0.005386578
01/02/1981,-0.006618329
01/03/1981,0.00203949
01/04/1981,2.98288E-05
01/05/1981,0.00331497
01/06/1981,0.007340501
01/07/1981,-0.006770925
01/08/1981,-0.001373253
01/09/1981,-0.000801748
01/10/1981,-0.000528279
01/11/1981,-0.001512274
01/12/1981,0.007590733
01/01/1982,-0.0060073
01/02/1982,0.005653641
01/03/1982,-0.000596484
01/04/1982,0.000998126
01/05/1982,-0.002424391
01/06/1982,0.001110596
01/07/1982,0.002432774
01/08/1982,0.000645254
01/09/1982,0.004055304
01/10/1982,0.006243447
01/11/1982,0.001817556
01/12/1982,0.003054916
01/01/1983,0.001927936
01/02/1983,0.000942968
01/03/1983,0.009338876
01/04/1983,0.000402342
01/05/1983,0.002903674
01/06/1983,0.006192898
01/07/1983,0.003300786
01/08/1983,0.004552853
01/09/1983,0.002691246
01/10/1983,0.001582941
01/11/1983,0.001839365
01/12/1983,0.00698175
01/01/1984,0.000756229
01/02/1984,-0.011047741
01/03/1984,0.009920027
01/04/1984,0.00266537
01/05/1984,0.003684544
01/06/1984,0.005198659
01/07/1984,-0.004000276
01/08/1984,0.006025838
01/09/1984,0.005838598
01/10/1984,-0.005283441
01/11/1984,0.009780053
01/12/1984,0.001306438
01/01/1985,0.006548361
01/02/1985,0.005417973
01/03/1985,-0.004682869
01/04/1985,0.004464996
01/05/1985,0.004984374
01/06/1985,0.000511665
01/07/1985,0.002814461
01/08/1985,0.005710433
01/09/1985,0.002100612
01/10/1985,-0.002030628
01/11/1985,0.002242351
01/12/1985,0.00885167
01/01/1986,-0.005315903
01/02/1986,0.00201216
01/03/1986,0.005643433
01/04/1986,-0.002683354
01/05/1986,0.003264133
01/06/1986,0.002370641
01/07/1986,0.000716308
01/08/1986,-0.001389189
01/09/1986,0.00490428
01/10/1986,0.000706265
01/11/1986,0.002856629
01/12/1986,0.006906756
01/01/1987,-0.003409008
01/02/1987,0.011033669
01/03/1987,0.001442148
01/04/1987,0.000543035
01/05/1987,0.002434692
01/06/1987,0.000955373
01/07/1987,0.001189975
01/08/1987,0.003186202
01/09/1987,-0.001816516
01/10/1987,0.003822315
01/11/1987,-0.000196108
01/12/1987,0.004140447
01/01/1988,0.004050322
01/02/1988,0.0015294
01/03/1988,0.008979751
01/04/1988,-0.004719253
01/05/1988,0.005345134
01/06/1988,0.00346819
01/07/1988,0.002407592
01/08/1988,0.006378119
01/09/1988,-0.001976052
01/10/1988,0.004181644
01/11/1988,0.001693949
01/12/1988,0.000906695
01/01/1989,0.001467756
01/02/1989,0.003021787
01/03/1989,-0.001509947
01/04/1989,-0.00114344
01/05/1989,0.002840292
01/06/1989,0.000963031
01/07/1989,-0.000742333
01/08/1989,0.004021741
01/09/1989,0.003601028
01/10/1989,-0.000767879
01/11/1989,0.002008932
01/12/1989,0.008607618
01/01/1990,-0.009691301
01/02/1990,0.004409432
01/03/1990,0.004398691
01/04/1990,-0.001241359
01/05/1990,0.002469447
01/06/1990,0.00350843
01/07/1990,-0.001459908
01/08/1990,0.002521767
01/09/1990,-0.001969106
01/10/1990,-0.006618519
01/11/1990,-0.000503666
01/12/1990,-0.001732615
01/01/1991,-0.006075592
01/02/1991,0.003491
01/03/1991,0.004678156
01/04/1991,-0.000287511
01/05/1991,0.003113084
01/06/1991,-0.001318965
01/07/1991,0.000547465
01/08/1991,-0.000335665
01/09/1991,-0.001260334
01/10/1991,-0.003765329
01/11/1991,0.004798798
01/12/1991,0.000441437
01/01/1992,0.009337475
01/02/1992,3.05874E-05
01/03/1992,0.004999695
01/04/1992,-0.001872734
01/05/1992,0.002818411
01/06/1992,0.000400492
01/07/1992,0.001368438
01/08/1992,0.00162243
01/09/1992,0.005927925
01/10/1992,-0.000962342
01/11/1992,0.004662747
01/12/1992,0.002074693
01/01/1993,-0.005890464
01/02/1993,0.005775218
01/03/1993,-0.002338854
01/04/1993,-0.000386746
01/05/1993,0.001442454
01/06/1993,0.005461205
01/07/1993,-0.000231883
